,Index,Centroid_X,Centroid_Y:,Area,Perimeter,Aspect_Ratio
126,126.0,111.0,152.0,590.0,214.42640614509583,0.6888888888888889
127,127.0,372.0,131.0,73.0,34.485281109809875,0.6153846153846154
128,128.0,254.0,122.0,35.0,24.0,0.75
129,129.0,104.0,121.0,16.0,16.0,1.0
130,130.0,88.0,121.0,41.0,30.82842707633972,1.25
131,131.0,350.0,132.0,221.5,87.21320295333862,0.3333333333333333
132,132.0,106.0,113.0,69.5,36.24264061450958,1.5
133,133.0,90.0,112.0,38.5,24.242640614509583,0.875
134,134.0,293.0,111.0,95.5,39.071067690849304,1.0909090909090908
135,135.0,199.0,107.0,42.0,26.82842707633972,1.2857142857142858
136,136.0,87.0,104.0,16.0,16.0,1.0
137,137.0,74.0,103.0,34.5,23.41421353816986,1.0
138,138.0,376.0,102.0,42.0,30.82842707633972,1.25
139,139.0,279.0,93.0,16.0,16.0,1.0
140,140.0,36.0,92.0,24.5,19.41421353816986,1.0
141,141.0,398.0,97.0,105.0,51.3137081861496,0.5
142,142.0,389.0,90.0,37.5,25.41421353816986,0.6666666666666666
143,143.0,66.0,89.0,49.0,28.0,1.0
144,144.0,301.0,86.0,16.0,16.0,1.0
145,145.0,1.0,87.0,20.5,21.41421353816986,0.4444444444444444
146,146.0,263.0,85.0,16.0,16.0,1.0
147,147.0,374.0,83.0,187.5,64.72792184352875,0.75
148,148.0,46.0,78.0,20.0,18.0,0.8333333333333334
149,149.0,408.0,77.0,16.0,16.0,1.0
150,150.0,76.0,79.0,44.5,29.41421353816986,0.8888888888888888
151,151.0,113.0,96.0,836.0,327.53910398483276,1.0392156862745099
152,152.0,309.0,77.0,128.0,46.14213526248932,0.75
153,153.0,295.0,71.0,39.0,26.82842707633972,1.2857142857142858
154,154.0,376.0,68.0,46.0,27.656854152679443,1.125
155,155.0,360.0,66.0,16.0,16.0,1.0
156,156.0,290.0,62.0,16.0,16.0,1.0
157,157.0,313.0,57.0,16.0,16.0,1.0
158,158.0,62.0,57.0,20.0,18.0,0.8333333333333334
159,159.0,300.0,43.0,79.5,35.071067690849304,1.3333333333333333
160,160.0,1.0,46.0,50.0,38.82842707633972,0.29411764705882354
161,161.0,362.0,47.0,122.0,58.485281229019165,0.32
162,162.0,305.0,32.0,24.0,20.0,1.4
163,163.0,1.0,32.0,10.0,14.0,0.5
164,164.0,393.0,40.0,395.0,96.62741649150848,0.6875
165,165.0,14.0,24.0,20.0,18.0,1.2
166,166.0,295.0,18.0,16.0,16.0,1.0
167,167.0,321.0,13.0,76.0,37.65685415267944,0.5714285714285714
168,168.0,188.0,49.0,1666.5,414.55129647254944,0.6060606060606061
169,169.0,389.0,11.0,195.0,70.62741672992706,0.8
170,170.0,472.0,2.0,49.0,29.656854152679443,1.5714285714285714
171,171.0,465.0,235.0,21796.5,1768.021420121193,0.1282952548330404
172,172.0,359.0,4.0,42.5,27.41421353816986,0.6
173,173.0,323.0,265.0,10785.0,1408.03866481781,0.23694779116465864
174,174.0,314.0,1.0,17.5,17.41421353816986,1.75
175,175.0,189.0,208.0,13102.5,1959.4427736997604,0.4406779661016949
